StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,pid,rrt_u_1,rrt_u_2,rrt_u_3,rrt_u_4,rrt_u_5,rrt_u_6,rrt_u_7,rrt_u_8,rrt_u_9,rrt_u_10,rrt_time_u_First Click,rrt_time_u_Last Click,rrt_time_u_Page Submit,rrt_time_u_Click Count,partner_type_u,rrt_r_1,rrt_r_2,rrt_time_r_First Click,rrt_time_r_Last Click,rrt_time_r_Page Submit,rrt_time_r_Click Count,partner_type_r,trial_sm_1,trial_sm_2,trial_sm_3,trial_sm_4,trial_sm_5,trial_sm_6,trial_sm_7,trial_sm_8,trial_lg_9,trial_lg_10,trial_lg_11,trial_lg_12,trial_lg_13,trial_lg_14,trial_lg_15,trial_lg_16,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,difficulty_u,difficulty_r,prior_knowledge_rrt,prior_knowledge_pt,gender,device,attn_check_fruit,comments,condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,"What is your prolific ID?
Please note that this answer should autofill with the correct ID. If your Prolific ID does not appear, please copy-and-paste it into the text box below.",Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 1,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 2,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 3,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 4,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 5,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 6,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 7,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 8,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 9,Please describe 10 kind or considerate things your relationship partner has done to help you in the last 7 days. - 10,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Who did you write about?,Please describe 2 kind or considerate things your relationship partner has done to help you in the last 7 days. - 1,Please describe 2 kind or considerate things your relationship partner has done to help you in the last 7 days. - 2,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Who did you write about?,"1. Click on the comparison figure that looks more like the target figure:


Target image","2. Click on the comparison figure that looks more like the target figure:


Target image","3. Click on the comparison figure that looks more like the target figure:


Target image","4. Click on the comparison figure that looks more like the target figure:


Target image","5. Click on the comparison figure that looks more like the target figure:


Target image","6. Click on the comparison figure that looks more like the target figure:


Target image","7. Click on the comparison figure that looks more like the target figure:


Target image","8. Click on the comparison figure that looks more like the target figure:


Target image","9. Click on the comparison figure that looks more like the target figure:


Target image","10. Click on the comparison figure that looks more like the target figure:


Target image","11. Click on the comparison figure that looks more like the target figure:


Target image","12. Click on the comparison figure that looks more like the target figure:


Target image","13. Click on the comparison figure that looks more like the target figure:


Target image","14. Click on the comparison figure that looks more like the target figure:


Target image","15. Click on the comparison figure that looks more like the target figure:


Target image","16. Click on the comparison figure that looks more like the target figure:


Target image","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Inspired","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Scared","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Hostile","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Afraid","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Strong","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Interested","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Excited","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Determined","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Ashamed","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Alert","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Attentive","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Enthusiastic","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Guilty","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Jittery","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Active","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Nervous","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Distressed","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Proud","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Upset","This scale consists of a number of words that describe different feelings and emotions. Please read each item and indicate to what extent you feel this way RIGHT NOW, using the scale provided. - Irritable","How difficult did you find the Relationship Recall Task (i.e., describing 10 kind or
considerate things your partner has done to help you)?","Think back to the very first part of the study.

How difficult did you find the Relationship Recall Task (i.e., describing 2 kind or
considerate things your partner has done to help you)?",Had you ever completed a task like the Relationship Recall Task before?,"Now think back to the second part of the study.

Had you ever completed a task just like the Perception Task (i.e., the choice of geometric figures) before?",What is your gender?,"What kind of device are you completing this survey on?
Your answer to this question will NOT impact your compensation.","As with all online data collection, there is a risk that some respondents are 'bots'. To ensure the integrity of our data, we want to know which responses are from real people like you! For that reason, we have included this question as a quality control check. Please select which of the following answer choices is a fruit:","Thanks!

Please share any comments or suggestions you might have on this study below (optional):",condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID7_FIRST_CLICK""}","{""ImportId"":""QID7_LAST_CLICK""}","{""ImportId"":""QID7_PAGE_SUBMIT""}","{""ImportId"":""QID7_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID34_7""}","{""ImportId"":""QID34_8""}","{""ImportId"":""QID34_9""}","{""ImportId"":""QID34_10""}","{""ImportId"":""QID34_11""}","{""ImportId"":""QID34_12""}","{""ImportId"":""QID34_13""}","{""ImportId"":""QID34_14""}","{""ImportId"":""QID34_15""}","{""ImportId"":""QID34_16""}","{""ImportId"":""QID34_17""}","{""ImportId"":""QID34_18""}","{""ImportId"":""QID34_19""}","{""ImportId"":""QID34_20""}","{""ImportId"":""QID36""}","{""ImportId"":""QID39""}","{""ImportId"":""QID38""}","{""ImportId"":""QID44""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID43""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""condition""}"
10/29/22 14:00,10/29/22 14:04,1,100,272,1,10/29/22 14:04,preview,EN,,test,test,test,test,test,test,test,test,test,test,5.28,37.57,39.29,13,2,,,,,,,,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,2,3,1,2,0,3,5,1,1,1,1,1,1,1,1,1,1,1,4,,0,,2,,1,,unresponsive
10/29/22 14:11,10/29/22 14:14,1,100,161,1,10/29/22 14:14,preview,EN,,,,,,,,,,,,,,,,,test,test,2.553,2.553,6.801,1,2,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,2,2,2,2,3,4,2,1,1,2,1,2,3,0,0,0,5,4,3,,1,0,0,2,,1,test,responsive
10/30/22 8:53,10/30/22 9:06,0,100,784,1,10/30/22 9:06,anonymous,EN,,,,,,,,,,,,,,,,,dishes after I cooked,took the dogs for a run when I didn't want to,14.249,24.68,128.701,2,2,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,2,1,0,1,2,2,1,2,0,2,3,2,0,2,1,1,1,0,0,0,,5,0,0,2,,1,,responsive
10/30/22 11:07,10/30/22 11:12,0,100,298,1,10/30/22 11:12,anonymous,EN,,Listens to me,Gives me advice,T,U,T,U,Y,Y,Y,Y,1.79,64.461,66.288,34,2,,,,,,,,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,0,1,4,2,3,5,0,6,3,3,3,6,3,6,3,2,4,3,4,,0,0,2,,1,,unresponsive
10/30/22 15:44,10/30/22 15:50,0,100,407,1,10/30/22 15:50,anonymous,EN,,,,,,,,,,,,,,,,,"My wife is the most incredible person in the world. There are innumerable ways she helps me. If I had to pick one, she loves and validates me and makes me feel valued and loved. ","If I had to pick a second, she believes in me and encourages me to pursue my dreams more than I thought I should and it has always culminated in success thanks to her immaculate judgement. ",6.303,182.409,225.701,40,2,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,1,0,1,1,,1,,responsive
10/30/22 15:19,10/30/22 15:51,0,100,1902,1,10/30/22 15:51,anonymous,EN,,Listen to me complain about work and actually listened ,Ordered dinner after a long shift so it would be there when I got home,Covered me up when I fell asleep on the couch,Took the dog out when he got up before I did,Picked up wine after a long week,Asked me how I was doing ,Acknowledged how hard I have been working and encouraged me to keep going,Cleaned the house,Picked me up from work when it was raining,Told me he loves me and never lets me forget ,17.893,826.585,828.336,99,2,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,,0,1,2,,1,,unresponsive
10/30/22 15:51,10/30/22 15:58,0,100,371,1,10/30/22 15:58,anonymous,EN,,,,,,,,,,,,,,,,,Cooked me dinner,Folded my laundry ,3.491,49.035,55.428,15,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,4,0,0,0,3,2,2,0,0,0,0,0,0,0,0,,1,0,1,1,,1,,responsive
10/30/22 22:16,10/30/22 22:19,1,100,158,1,10/30/22 22:19,preview,EN,,test,test,test,test,test,test,test,test,test,test,10.909,33.022,36.412,15,1,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,1,2,,1,,unresponsive
11/1/22 13:28,11/1/22 13:52,0,100,1438,1,11/1/22 13:52,anonymous,EN,,One very kind thing,Another very kind thing,Actually I don't feel like filling out past three. Can I click next anyway?,I can't. The survey designer was too careful about that.,What if I just write spaces in all the blocks?,"Wow, I can't even do that. Good job Qualtrics/Catherine ",I'm just going to put hyphens in the remaining boxes,-,-,-,2.329,632.056,645.819,19,1,,,,,,,,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,0,0,1,,1,I AM YOUR TA PLEASE EXCLUDE ME,unresponsive
10/30/22 15:19,10/30/22 15:20,0,3,34,0,11/6/22 14:20,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/22 18:47,11/1/22 19:23,0,16,2145,0,11/8/22 18:23,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/22 11:56,11/13/22 12:03,1,100,380,1,11/13/22 12:03,preview,EN,,a,a,a,a,a,a,a,a,a,a,17.594,93.269,94.891,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unresponsive
